	USP																							
KAMELYA AISHEN CLUB	Didel? teritorija, daug žalumos ir stipri animacija – puikus pasirinkimas šeimoms.																							
KANDELOR HOTEL	Nedidelis viešbutis Alanijoje, šeimoms tinkamas kainos/kokyb?s santykis.																							
KAPTAN HOTEL	Alanijos miesto viešbutis su panoraminiu vaizdu ? j?r?, tinkamas poroms.																							
KARMIR RESORT & SPA	Modernus viešbutis su puikia SPA zona, žalia teritorija ir kokybišku maistu.																							
KAYA BELEK	Didelis šeimoms tinkantis Beleko viešbutis, patikimas pasirinkimas su stipria animacija.																							
KAYA PALAZZO GOLF & RESORT	Prabangus viešbutis su aukš?iausio lygio golfo aikštynais ir premium aptarnavimu.																							
KAYA SIDE	Šeimoms draugiškas viešbutis su pla?iu papl?dimiu ir nuolatine animacija.																							
KEFALUKA RESORT	?sp?dinga Bodrum ?lankos panorama, ramus prabangus poilsis ir puikios pramogos.																							
KEMER DREAM HOTEL	Ekonomiškas šeimoms tinkamas viešbutis, arti papl?dimio Kemeryje.																							
KEMER HOTEL	Centrin? vieta Kemerio širdyje – biudžetinis pasirinkimas su viskuo, ko reikia.																							
KEMER STAR HOTEL	Nedidelis biudžetinis viešbutis poroms Kemere																							
KEMPINSKI HOTEL THE DOME	Tarptautinio tinklo viešbutis Beleke, itin aukštas serviso lygis, prabangios vilos ir golfo prieiga.																							
KILIKYA PALACE GOYNUK	?sik?r?s gražioje ?lankoje Kemeryje, šeimoms tinkami kambariai, platus papl?dimys.																							
KIMERA LOUNGE HOTEL	Stilingas, butik stiliaus viešbutis su nat?ralia aplinka ir ramesne atmosfera.																							
KIRMAN ARYCANDA DE LUXE	Modernus viešbutis su stipria animacija ir puikia virtuve.																							
KIRMAN BELAZUR RESORT & SPA	Puikus pasirinkimas šeimoms – daug pramog? ir kokybiškas maisto pasirinkimas.																							
KIRMAN CALYPTUS RESORT & SPA	Naujai pastatytas viešbutis su moderniu dizainu ir jaukia atmosfera.																							
KIRMAN LEODIKYA RESORT	Papl?dimio viešbutis su puikiu aptarnavimu ir daug veiklos vaikams.																							
KIRMAN SIDERA LUXURY & SPA	Prabangus variantas su erdviais kambariais ir aukštu paslaug? lygiu.																							
KLAS HOTEL	Biudžetinis pasirinkimas su patogia vieta ir paprasta infrastrukt?ra.																							
KLAS MORE ANNEX HOTEL	Tvarkingas viešbutis ekonominiam poilsiui netoli j?ros.																							
KLAS MORE BEACH HOTEL	Alanijos viešbutis su erdviais kambariais ir animacija šeimoms.																							
KLEOPATRA ADA BEACH	Arti garsiojo Kleopatros papl?dimio, kompaktiškas ir patogus šeimoms.																							
KLEOPATRA ADA HOTEL	Centrin? vieta, švar?s kambariai ir lengva prieiga prie papl?dimio.																							
KLEOPATRA ALAIYE HOTEL	Nedidelis, draugiškas viešbutis Alanijoje, tinkamas šeimoms.																							
KLEOPATRA ARSI HOTEL	Paprastas viešbutis netoli papl?dimio, biudžetinis pasirinkimas šeimoms.																							
KLEOPATRA ATLAS HOTEL ADULT ONLY (16+)	Tik suaugusiems skirtas Alanijos viešbutis, arti papl?dimio, ramesn? atmosfera.																							
KLEOPATRA AYTUR SUIT OTEL	Apartament? tipo viešbutis su virtuv?l?mis – patogu ilgoms viešnag?ms.																							
KLEOPATRA BALIK HOTEL	Ekonominis pasirinkimas vos keli žingsniai nuo j?ros.																							
KLEOPATRA BAVYERA HOTEL	Paprastas, jaukus ir labai gerai vertinamas d?l lokacijos.																							
KLEOPATRA BEACH HOTEL	Tradicinis Alanijos viešbutis prie Kleopatros papl?dimio, šeimoms patogi vieta.																							
KLEOPATRA BLUE HAWAI	Prieinamas, paprastas variantas netoli papl?dimio.																							
KLEOPATRA CELINE HOTEL	Švarus ir jaukus viešbutis su labai patogia papl?dimio zona.																							
KLEOPATRA DREAMS BEACH	Viešbutis šalia Kleopatros papl?dimio, geras kainos–kokyb?s santykis ir tvarkingi kambariai.																							
KLEOPATRA FATIH HOTEL	Šeimoms tinkamas Alanijos viešbutis prie garsiojo Kleopatros papl?dimio.																							
KLEOPATRA LIFE HOTEL	Modernesni kambariai ir labai arti j?ros – puikus miesto atostog? variantas.																							
KLEOPATRA MELISSA HOTEL	Ekonomiškas viešbutis su papl?dimiu vos už keli? žingsni?.																							
KLEOPATRA MICADOR HOTEL	Kompaktiškas, ekonomiškas Alanijos viešbutis, tinkamas šeimoms.																							
KLEOPATRA MIRAY HOTEL	Paprastas, švarus ir gerai vertinamas d?l lokacijos šalia papl?dimio.																							
KLEOPATRA RAMIRA HOTEL	Nedidelis viešbutis Alanijoje, paprastas, patogus šeimoms.																							
KLEOPATRA ROYAL PALM	Patikrintas klasikinis viešbutis prie j?ros su gera animacija ir maistu.																							
KLEOPATRA SMILE HOTEL	Biudžetinis variantas arti papl?dimio – viskas ko reikia paprastoms atostogoms.																							
KLEOPATRA SUN LIGHT HOTEL	Jaukus, ekonomiškas ir patogioje vietoje esantis viešbutis.																							
KOLIBRI HOTEL	Nedidelis biudžetinis viešbutis Alanijoje, paprastas šeim? poilsiui.																							
KORIENT MIRA HOTEL	Paprastas, biudžetinis viešbutis, tinkamas poroms ieškan?ioms ekonomiško poilsio.																							
KORUMAR EPHESUS SPA & BEACH RESORT	Naujas, modernus viešbutis Kušadasyje, tiesiogiai prie sm?lio papl?dimio, stipri SPA kryptis.																							
KORUMAR HOTEL DELUXE	Garsus Kušadasio viešbutis ant uolos, ?sp?dingi Eg?jo j?ros vaizdai, romantiška aplinka.																							
KREMLIN PALACE	Ikoninis viešbutis su unikalia architekt?ra, aktyviu poilsio formatu ir gausiomis pramogomis.																							
KUSTUR CLUB HOLIDAY VILLAGE	Meil?s gamtai ?kv?ptas kompleksas su didele žaluma ir kokybišku maistu.																							
L'ETOILE BEACH HOTEL	Puiki vieta prie j?ros, ramus poilsis ir geras kainos–kokyb?s santykis.																							
L'OCEANICA BEACH RESORT HOTEL	Patogus šeimoms, erdvus papl?dimys, daug veikl? vaikams.																							
LA BLANCHE ISLAND BODRUM	Prabangus viešbutis saloje Bodrume, privat?s papl?dimiai, ?sp?dingi vaizdai.																							
LA BLANCHE RESORT & SPA	Modernus Bodrumo viešbutis, elegantiškas interjeras, aukštos kokyb?s SPA.																							
LA QUINTA BY WYNDHAM BODRUM	Šiuolaikinis viešbutis su puikiu vaizdu ? ?lank? ir aukštu komforto lygiu.																							
LABRANDA ALANTUR HOTEL	Alanijos viešbutis su žaluma apsupta teritorija, patogus šeimoms, erdv?s kambariai.																							
LABRANDA EPHESUS PRINCESS HOTEL	Ant kalvos su nuostabia panorama ir itin geru papl?dimiu.																							
LABRANDA LEBEDOS PRINCESS HOTEL	Ramus viešbutis puikiai tinkantis poroms ir ramesn?ms atostogoms.																							
LABRANDA MARES MARMARIS HOTEL	Viešbutis tarp Marmario pušyn?, šeimoms patogi aplinka, ?vair?s restoranai.																							
LABRANDA TMT RESORT	Viešbutis ant j?ros kranto su visomis patogumais ir geru maitinimu.																							
LADONIA HOTELS ADAKULE	Graži vieta ant uolos su liftu ? papl?dim? – puikus kainos–kokyb?s variantas.																							
LADONIA HOTELS DEL MARE	Šeimoms draugiškas viešbutis su švariais kambariais ir geru papl?dimiu.																							
LADONIA HOTELS LEO BEACH RESORT ADULT ONLY (16+)	Ramus suaugusi?j? viešbutis su jaukia atmosfera.																							
LADONIA HOTELS LUNA BEACH RESORT	Patogus pasirinkimas šeimoms su gražiu papl?dimiu ir baseinais.																							
LADONIA MIO BIANCO	Ramus viešbutis gražioje ?lankoje su nuosavu papl?dimiu – puikus kainos ir kokyb?s balansas.																							
LADY DIANA HOTEL	Puiki vieta Stambule, šalia lankomiausi? senamies?io objekt? – patogu miesto pažinimui.																							
LAGO HOTEL	Stilingas ir modernus viešbutis, skirtas prabangos m?g?jams, su ?sp?dingu basein? kompleksu.																							
LAGUNA BEACH ALYA RESORT & SPA HOTEL	Šeimoms pritaikytas viešbutis su geru vandens parku ir stipria animacija.																							
LAKE & RIVER SIDE HOTEL & SPA	Viešbutis prie up?s ir ežero, ramus, bet šeimoms patogus variantas.																							
LALILA BLUE SUITES	Stilingas viešbutis su artumu papl?dimiui ir šiuolaikiniu interjeru – tinka poroms.																							
LARA BARUT COLLECTION	Gastronomijos lyderis Laroje, arti oro uosto - patogu trumpam prabangiam poilsiui.																							
LARA GARDEN	Ramus ir jaukus viešbutis netoli Lara papl?dimio – puikus ekonominis pasirinkimas.																							
LAREN FAMILY HOTEL & SPA	Mažas boutique tipo šeimos viešbutis su labai geru aptarnavimu.																							
LAREN SEASIDE HOTEL & SPA	Butikinis paj?rio viešbutis su stilingais kambariais ir ramia atmosfera.																							
LARISSA INN HOTEL	Ekonominis viešbutis paprastam poilsiui – geras pasirinkimas taupiems keliautojams.																							
LARISSA SULTAN'S BEACH HOTEL	Viešbutis prie j?ros su gražia teritorija ir patogiais kambariais.																							
LATANYA PARK RESORT	Šeimoms tinkantis viešbutis su dideliu baseinu ir tiesioginiu iš?jimu ? papl?dim?.																							
LAVITAS HOTEL	Ramus, nedidelis viešbutis šalia j?ros – geras paprastas pasirinkimas.																							
LE BLEU HOTEL & RESORT	Prabangus Kušadasio viešbutis prie j?ros, gars?ja gastronomija ir kokybišku servisu.																							
LEDA BEACH HOTEL	Romantiškas viešbutis ant j?ros kranto Side, tinkamas poroms.																							
LEMAS SUITE HOTEL	Ekonominis apartament? tipo viešbutis su erdviais numeriais.																							
LIBERTY FABAY	Vienas geriausi? Fethiye regiono viešbu?i? – naujas, prabangus, su nuostabiu papl?dimiu.																							
LIBERTY GOLF & RESORT KUSADASI	Viešbutis golfo m?g?jams ir aktyviam poilsiui – aukštas komforto lygis.																							
LIBERTY HOTELS LYKIA	Didelis kurortas tarp kaln? ir j?ros – idealus šeimoms su vandens parku ir žaluma.																							
LIBERTY HOTELS LYKIA ADULT ONLY (16+)	?sp?dinga teritorija Fethiye, tik suaugusiems, romantiška aplinka tarp kaln? ir j?ros.																							
LIBERTY SIGNA	Naujas, stilingas viešbutis su šiuolaikiškomis erdv?mis ir aukštos klas?s aptarnavimu.																							
LIMAK ARCADIA SPORT RESORT HOTEL	Sporto orientacija – futbolo aikštynai, aktyvios šeimoms skirtos programos.																							
LIMAK ATLANTIS DELUXE HOTEL & RESORT	Didelis kompleksas su pramogomis vaikams, erdv?s šeimyniniai kambariai.																							
LIMAK LARA DELUXE HOTEL & RESORT	Egzotiški teminiai vakar?liai, šeimoms patogi infrastrukt?ra, aktyvi animacija.																							
LIMAK LIMRA HOTEL & RESORT	Vienas populiariausi? Kemero viešbu?i?, didel? teritorija, animacija vaikams.																							
LIMS BONA DEA BEACH HOTEL	Patogioje vietoje esantis viešbutis su ramiu papl?dimiu ir jaukia aplinka.																							
LINDA RESORT HOTEL	Ramus poilsis žalioje vietoje – geras pasirinkimas šeimoms.																							
LITORE HOTEL RESORT & SPA	Modernus ir stilingas viešbutis ant kalvos su nuostabia panorama.																							
LIU RESORTS	Prabangus, naujas viešbutis su premium aptarnavimu ir išskirtiniu dizainu.																							
LONG BEACH	Milžiniškas viešbu?i? kompleksas su vandens parku, atrakcionais ir šeimyniniais nameliais.																							
LONG BEACH CLUB NATURE	„Long Beach“ tinklo dalis, su pramog? parku ir akvaparku, šeimoms draugiška aplinka.																							
LONICERA CITY HOTEL	Paprastas miesto viešbutis šalia papl?dimio – patogu ekonomiškam poilsiui.																							
LONICERA PREMIUM	Naujas Alanijos viešbutis, šeim? m?gstamas d?l akvaparko, erdvi? kambari? ir stiprios animacijos.																							
LONICERA RESORT & SPA	Vienas populiariausi? šeim? viešbu?i? Alanijoje - akvaparkas, baseinai, vaik? klubai.																							
LONICERA WORLD HOTEL	Didelis kompleksas Alanijoje, tinkamas šeimoms, animacija ir ?vair?s restoranai.																							
LUCIDA BEACH HOTEL	Prabangus papl?dimio viešbutis Kemeryje, modernus interjeras, aukšto lygio aptarnavimas.																							
LUJO HOTEL BODRUM	Vienas prabangiausi? Bodrumo viešbu?i?, modernus dizainas, VIP papl?dimiai ir asmenin?s paslaugos.																							
LUNA BLANCA RESORT & SPA	Modernus Side viešbutis, patogus šeimoms su vaikais, stipri animacija.																							
LUNA VISTA BELEK	Naujas, šiuolaikinis viešbutis su erdvia teritorija ir ramia prabanga.																							
LUSSO SORGUN	Mažesn?, stilinga prabanga – idealiai tinka poroms ir ramiam poilsiui.																							
LYKIA BOTANIKA BEACH	Žalia teritorija ir ramus papl?dimys – puikus pasirinkimas šeimoms.																							
LYKIA WORLD ANTALYA	Didžiul? teritorija su vandens parku ir golfo aikštynu – idealu aktyviam poilsiui.																							
MA BICHE KEMER BY WERDE HOTELS	Erdvus viešbutis Kemere, su daug žalumos ir šeimoms tinkamais kambariais.																							
MAGIC SUN HOTEL	Ekonomiškas  viešbutis netoli papl?dimio – tinka nebrangiam poilsiui.																							
MAGNIFICENT HOTEL	Paprastas viešbutis šalia j?ros – tinka taupiems keliautojams.																							
MANASPARK DELUXE HOTEL OLUDENIZ	Puik?s vaizdai ? kalnus ir lag?n? – labai geras kainos ir kokyb?s santykis.																							
MANDARIN RESORT HOTEL	Viešbutis Bodrume, tinkamas šeimoms, patogus d?l vietos ir kainos/kokyb?s santykio.																							
MARBAS SELECT BEACH ADULT ONLY (14+)	Ramus suaugusi?j? poilsis su gražia ?lanka ir ramiu papl?dimiu.																							
MARIN HOTEL KEMER	Paprastas miesto viešbutis netoli j?ros – tik baziniam poilsiui.																							
MARTI LA PERLA ADULT ONLY (16+)	Ramus suaugusi?j? viešbutis nuostabioje I?melerio ?lankoje.																							
MARTI MYRA HOTEL	?sp?dinga žaluma, didel? teritorija, idealiai tinka šeimoms su vaikais.																							
MARTI PRIME BEACH	Jaukus papl?dimio viešbutis su gražiu vaizdu ir ramiu poilsiu.																							
MARTI RESORT	Klasikinis  viešbutis ant j?ros kranto su didele žalia teritorija.																							
MARVIDA FAMILY ECO	Šeimoms pritaikytas viešbutis su daug pramog? ir ekologiška koncepcija.																							
MARVIDA HOTEL AKMAN PARK	Žalias viešbutis su patogiu iš?jimu ? papl?dim? ir ramiu poilsiu.																							
MARY HOTEL ALANYA	Naujas viešbutis su moderniu interjeru ir gera lokacija.																							
MASTER FAMILY CLUB HOTEL	Šeim? viešbutis su daug animacijos ir patogumais vaikams.																							
MAXX ROYAL BELEK GOLF RESORT	Ultra prabanga, desertin? ir šokoladin?, VIP papl?dimys, ?sp?dinga vakaro programa.																							
MAXX ROYAL KEMER RESORT	Išskirtin? lokacija su ?lankomis, tik apartamentai ir vilos, n?ra masinio turizmo, à la carte konceptas.																							
MAY FLOWER APART HOTEL	Ekonomiškas apartament? viešbutis su jaukiais kambariais ir patogia lokacija Alanijoje.																							
MAY HOTEL	Paprastas miesto viešbutis šalia papl?dimio – tinka nebrangiam poilsiui.																							
MAYA WORLD PARK	Ekonomiškas Side viešbutis su animacija, tinkamas šeimoms.																							
MC ARANCIA RESORT HOTEL	Didel? teritorija, privatus papl?dimys ir aktyvi programa visai šeimai.																							
MC BEACH PARK RESORT HOTEL	Viešbutis tiesiai ant papl?dimio su ?vairiomis pramogomis ir baseinais.																							
MC MAHBERI BEACH HOTEL	Kompaktiška teritorija, šeimyniniai kambariai, patogus papl?dimys vaikams.																							
MEDER RESORT	Centrin? Kemero lokacija, arti j?ros ir naktinio gyvenimo.																							
MEGASARAY RESORT SIDE	Naujas, modernus viešbutis su aukštu aptarnavimo lygiu ir puikiu maistu.																							
MEGASARAY WESTBEACH ANTALYA	Modernus viešbutis Antalijoje, erdv?s šeimyniniai kambariai, vaik? klubai, stipri gastronomija.																							
MELAS LARA HOTEL	Labai stiprus maistas ir aptarnavimas, geras pasirinkimas ramiam poilsiui Laroje.																							
MELAS RESORT HOTEL	Patogioje vietoje, su kokybiška virtuve ir puikia papl?dimio zona.																							
MENDOS GARDEN EXCLUSIVE	Jaukus viešbutis tarp žalumos, arti Oludenizo – ramus poilsis.																							
MERSOY BELLAVISTA HOTEL ADULT ONLY (14+)	Viešbutis tik suaugusiems Marmaryje, romantiška aplinka ir ramyb?.																							
MERVE SUN HOTEL & SPA	Ekonomiškas viešbutis Side, tinkamas šeimoms su vaikais.																							
MESUT HOTEL	Viešbutis ant j?ros kranto su vaizdu ? Alanijos pil? – patogu miesto atostogoms.																							
MG CLUB AKMAN BEACH HOTEL	Žalias viešbutis ant j?ros kranto su ramiu poilsiu ir paprastomis pramogomis.																							
MICHELL HOTEL & SPA ADULT ONLY (16+)	Alanijos viešbutis suaugusiems, elegantiškas SPA ir rami atmosfera.																							
MIRACLE RESORT HOTEL	Didelis viešbutis Laroje, patogus šeimoms, platus papl?dimys ir baseinai.																							
MIRADA EXCLUSIVE BODRUM	Naujas stilingas Bodrumo viešbutis, labiau orientuotas ? poras ir prabang? poils?.																							
MIRAGE PARK RESORT	Didel? žaluma, erdvi teritorija Kemeryje, patogus šeimoms.																							
MIRAMARE BEACH HOTEL	Ramus viešbutis ant j?ros kranto su aukštu komforto lygiu ir puikiu aptarnavimu.																							
MIRAMARE QUEEN HOTEL	Pastovus aukštos kokyb?s lygis ir patogi vieta – puikus šeim? variantas.																							
MIR`AMOR GARDEN RESORT HOTEL	Žalias viešbutis ramesniam poilsiui šalia Kemero.																							
MONART CITY HOTEL	Centrin? vieta Alanijoje, geras pasirinkimas miesto ir papl?dimio deriniui.																							
MONTE CARLO HOTEL	Nedidelis viešbutis Alanijoje, biudžetinis variantas šeimoms.																							
MORE HOTEL	Ekonomiškas pasirinkimas arti j?ros – paprastam poilsiui.																							
MOVENPICK RESORT ANTALYA TEKIROVA /	Aukštos klas?s kurortas tarp miško ir j?ros – prabanga šeimoms ir poroms.																							
MUER CITY HOTEL	Paprastas miesto viešbutis patogioje vietoje.																							
MUKARNAS SPA RESORT	Stipri animacija, puiki virtuv? ir didel? teritorija – idealu šeimoms.																							
MUNAMAR PARK HOTEL	Ekonomiškas pasirinkimas ramiam poilsiui I?meleryje.																							
MUZ HOTEL	Ekonominis viešbutis šalia papl?dimio – tinkamas nebrangiam poilsiui Alanijoje.																							
MY DREAM HOTEL	Paprastas viešbutis arti j?ros, geras variantas taupiems keliautojams.																							
MY ELLA BODRUM RESORT & SPA	Prabangus viešbutis ramioje Bodrumo ?lankoje su aukštos klas?s SPA.																							
MY HOME RESORT HOTEL	Šeimoms palankus viešbutis su stipria animacija ir gera teritorija.																							
MYSEA HOTEL ALARA	Ramus viešbutis šalia j?ros – geras kainos ir kokyb?s santykis.																							
MYSEA HOTELS INCEKUM	Paprastas, bet tvarkingas viešbutis su žaliu plotu ir geru papl?dimiu.																							
NAR HOTEL	Miestinis viešbutis netoli j?ros, tinkamas trumpam ir ekonomiškam poilsiui.																							
NATUR GARDEN HOTEL	Bodrumo viešbutis su žalumos apsupta teritorija, tinkamas šeimoms.																							
NATURELLA HOTEL & APART	Apartament? tipo viešbutis su baseinu – idealus taupiems keliautojams.																							
NEPTUN HOTEL	Bazin?s paslaugos, arti papl?dimio – paprastam ir nebrangiam poilsiui.																							
NG PHASELIS BAY	Naujas, modernus viešbutis ramyb?s ieškantiems, ypatinga vieta šalia antikinio Phaselio, puikiai tiks ir SPA poilsiui.																							
NIRVANA COSMOPOLITAN	Šiuolaikinis, stilingas viešbutis Laroje su stipria gastronomija ir prabanga.																							
NIRVANA DOLCE VITA	Didžiul? teritorija tarp kaln? ir j?ros – idealu šeimoms ir VIP poilsiui.																							
NIRVANA MEDITERRANEAN EXCELLENCE	Prabanga ir gamta – aukš?iausios klas?s paslaugos, didel? žalioji zona.																							
NOXINN CLUB HOTEL	Šeimoms draugiškas viešbutis su erdvia teritorija ir papl?dimiu.																							
NOXINN DELUXE HOTEL	Modernus viešbutis ant j?ros kranto su kokybišku maistu.																							
NUMA BAY EXCLUSIVE	Stilingas viešbutis ant sm?l?to papl?dimio – aukštas komforto lygis.																							
NUMA KONAKTEPE HOTEL	Šeimoms tinkamas viešbutis su gera animacija ir tvarkingais kambariais.																							
NUMA PORT HOTEL	Jaukus ir modernus miesto stiliaus viešbutis su gražia uosto panorama.																							
OBA STAR HOTEL	Populiarus viešbutis su geru aptarnavimu ir artumu papl?dimiui.																							
OBA TIME HOTEL	Jaukus ekonominis  viešbutis – tinkamas ramiam poilsiui.																							
OKALIPTUS HOTEL	Nedidelis viešbutis Bodrume, šeimoms patogi atmosfera.																							
OLIMPOS BEACH HOTEL BY RRH&R	Paprastas viešbutis ant papl?dimio – geras taupus variantas.																							
ONKEL RESORT HOTEL	Patogus šeimoms viešbutis su baseinu ir animacija.																							
OPIA BOUTIQUE HOTEL	Modernus ir tylus butikinis viešbutis su elegantiška atmosfera.																							
ORANGE COUNTY ALANYA	„Olandiškas“ stilius, tinkamas aktyviems keliautojams.																							
ORANGE COUNTY BELEK	Teminis dizainas, erdvi teritorija, daug pramog? šeimoms.																							
ORANGE COUNTY KEMER	Populiarus tarp šeim?, originali olandiško miesto koncepcija, aktyvios animacijos.																							
ORFEUS PARK HOTEL	Paprastas, ekonomiškas viešbutis su animacija vaikams, patogus šeimoms.																							
ORFEUS QUEEN HOTEL	Nedidelis viešbutis su draugiška atmosfera, patogus ekonominis pasirinkimas šeimoms.																							
ORKA LOTUS BEACH	Modernus viešbutis nuostabioje ?lankoje su ilgu molu ir stipria animacija.																							
ORSMARIS BOUTIQUE HOTEL	Jaukus butikinis viešbutis ant j?ros kranto – idealus ramiam poilsiui.																							
OZ HOTELS INCEKUM BEACH RESORT	Geras papl?dimys ir šeimoms pritaikyta infrastrukt?ra.																							
OZ HOTELS SIDE PREMIUM	Didelis modernus viešbutis, šeimoms pritaikyta infrastrukt?ra ir animacija.																							
OZ HOTELS SUI RESORT	Didelis basein? kompleksas, animacija vaikams, tinkamas aktyvioms šeimoms.																							
OZKAYMAK FALEZ HOTEL	Senasis Antalijos simbolis ant uolos, patogus šeimoms ir miesto turistams.																							
OZKAYMAK INCEKUM HOTEL	Viešbutis su ilga istorija, platus papl?dimys, patikimas variantas šeimoms.																							
OZKAYMAK MARINA HOTEL	Patogus viešbutis Kemere, arti uosto, šeimoms draugiška atmosfera.																							
OZKAYMAK SELECT RESORT	Modernesnis Ozkaymak tinklo viešbutis su gera paslaug? kokybe.																							
OZLEM GARDEN	Jaukus viešbutis šalia Side centro – paprastas ir ekonomiškas.																							
PALEMON RESORT&SPA	Stilingas viešbutis su stipriu SPA ir aukštu aptarnavimo lygiu.																							
PALM D'OR HOTEL	Tvarkingas viešbutis su kompaktiška teritorija ir gera lokacija.																							
PALM WINGS BEACH RESORT & SPA KUSADASI	Didel? teritorija, puikus papl?dimys ir šeim? patogumai.																							
PALM WINGS EPHESUS HOTEL	Pla?iai vertinamas d?l papl?dimio ir šeimoms pritaikytos animacijos.																							
PALM WORLD SIDE RESORT&SPA	Modernus, kompaktiškas viešbutis už ger? kain?.																							
PALMEA HOTEL	Jaukus miesto viešbutis arti papl?dimio.																							
PALMERAS BEACH HOTEL	Žalias viešbutis su gera animacija ir sm?l?tu papl?dimiu.																							
PALOMA FAMILY CLUB	Bodrumo viešbutis, orientuotas ? šeimas, patog?s šeimyniniai apartamentai, baseinai vaikams.																							
PALOMA FINESSE SIDE	Modernus viešbutis Side su erdviais šeimyniniais kambariais, aukšto lygio gastronomija.																							
PALOMA GRIDA	Kaimelio stiliaus koncepcija, daug žalumos, idealus pasirinkimas šeimoms.																							
PALOMA MARINA SUITES ADULT ONLY (16+)	Suaugusi?j? viešbutis su vaizdu ? marin? – ramu ir stilinga.																							
PALOMA OCEANA	Sm?lio papl?dimys prie viešbu?io, šeimoms draugiški kambariai ir stipri animacija.																							
PALOMA ORENDA	Didel? teritorija sporto m?g?jams – papl?dimys ir j?ros sportai.																							
PALOMA PASHA	Stilingas viešbutis su elegantiška architekt?ra ir puikiu j?ros krantu.																							
PALOMA PERISSIA HOTEL	Elegantiškas viešbutis su stipria šeim? animacija, erdv?s kambariai.																							
PALOMA SENCIA	Šeimoms draugiška „Paloma“ koncepcija, daug veikl? vaikams ir stipri animacija.																							
PAPILLON AYSCHA	Beleko viešbutis su stipria animacija vaikams, šeimoms draugiška aplinka.																							
PAPILLON BELVIL	Vienas populiariausi? šeim? viešbu?i? Beleke, patogi infrastrukt?ra, pramogos vaikams.																							
PAPILLON ZEUGMA RELAXURY HOTEL	Prabangus Beleko viešbutis su „relaxury“ (relax + luxury) koncepcija, gurmaniška virtuv?.																							
PARK HOTEL ALANYA	Paprastas miesto viešbutis arti papl?dimio – geras biudžetinis variantas.																							
PARK MARINA HOTEL	Paprastas viešbutis arti j?ros – geras biudžetinis pasirinkimas.																							
PASHAS PRINCESS BY WERDE HOTELS ADULT ONLY (16+)	Boutique stiliaus viešbutis Kemeryje, tik suaugusiems, ramus poilsis.																							
PERA TULIP HOTEL	Stilingas miesto viešbutis Stambule su SPA.																							
PERDIKIA BEACH HOTEL	Jaukus viešbutis arti Oludenizo papl?dimio.																							
PERDIKIA HILL FAMILY RESORT & SPA	Šeimoms skirtas viešbutis su kaln? vaizdais ir animacija.																							
PERRE DELTA RESORT & SPA	Alanijos viešbutis, tinkamas šeimoms, patogus papl?dimys ir baseinai.																							
PERRE LA MER HOTEL	Kemeryje esantis viešbutis, šeimoms tinkamas variantas su j?ros pakrante.																							
PETUNYA BEACH RESORT	Viešbutis prie j?ros Bodrume, šeimoms draugiškas pasirinkimas su animacija.																							
PINE BEACH BELEK	Erdvi teritorija, šeimoms skirta infrastrukt?ra, daug veikl? vaikams.																							
PINE HOUSE BY WERDE HOTELS	Kompaktiškas viešbutis Kemeryje, arti papl?dimio, draugiška aplinka šeimoms.																							
PIRATES PARK RESORT	Šeimoms tinkantis viešbutis su vandens pramogomis.																							
PIRATE'S BEACH CLUB	Labai stiprus šeim? viešbutis su dideliu aquaparku.																							
PONZ HOTEL	Ekonomiškas viešbutis Kušadasyje, tinkamas šeimoms su vaikais.																							
PORT NATURE LUXURY RESORT HOTEL & SPA	Didelis akvaparkas, platus pramog? pasirinkimas šeimoms, tinkamas aktyviam poilsiui.																							
PORT RIVER HOTEL SPA	Modernus viešbutis su gera lokacija netoli Side.																							
PORTO BELLO HOTEL RESORT & SPA	Viešbutis Konyaalti papl?dimyje – arti Antalijos centro.																							
POSEIDON HOTEL ADULT ONLY (16+)	Ramus suaugusi?j? viešbutis ant j?ros kranto.																							
PRENSES SEALINE BEACH HOTEL	Geras kainos-kokyb?s santykis ir sm?l?tas papl?dimys.																							
PRESTIGE ALANYA	Paprastas  viešbutis arti miesto ir papl?dimio.																							
PRIME BEACH HOTEL	Naujas viešbutis prie j?ros, tinkamas šeimoms su vaikais.																							
PRIVE BODRUM ADULT ONLY (16+)	Boutique stiliaus prabangus viešbutis suaugusiems Bodrume, VIP aptarnavimas.																							
PRIVE HOTEL DIDIM	Boutique stiliaus viešbutis prie j?ros, ramyb? ir privatumas, tinkamas poroms.																							
PYXIS POINT HOTEL	Šiuolaikiškas viešbutis su patogia lokacija.																							
Q AVENTURA PARK HOTEL	Dideli baseinai ir šeimoms pritaikyta animacija.																							
Q PREMIUM RESORT	Modernus viešbutis su puikia maisto kokybe.																							
QUATTRO BEACH SPA & RESORT HOTEL	Šeim? favoritas su švariu papl?dimiu ir stipria animacija.																							
QUATTRO FAMILY CLUB DEM HOTEL	Didel? teritorija ir puikiai vertinama animacija.																							
QUEEN'S PARK GOYNUK	Žalias kurortas su geru aptarnavimu ir sm?l?tu papl?dimiu.																							
QUEEN'S PARK LE JARDIN	Ramus viešbutis su gražiai sutvarkyta teritorija.																							
RADISSON HOTEL PRESIDENT BEYAZIT ISTANBUL	Modernus ir patogioje vietoje esantis miesto viešbutis Stambule.																							
RAI PREMIUM TEKIROVA (EX.QUEENS PARK TEKIROVA)	Didel? žalia teritorija, puikus papl?dimys ir šeim? infrastrukt?ra.																							
